Year,Sector,CO2,CH4,N2O,HFCs
2022,Direct N2O Emissions from Manure Management,NA,NA,1511.1468999999925,NA
2023,Direct N2O Emissions from Manure Management,NA,NA,1591.1625999999815,NA
2024,Direct N2O Emissions from Manure Management,NA,NA,1671.1782999999996,NA
2025,Direct N2O Emissions from Manure Management,NA,NA,1751.1939999999886,NA
2026,Direct N2O Emissions from Manure Management,NA,NA,1831.2097000000067,NA
2027,Direct N2O Emissions from Manure Management,NA,NA,1911.2253999999957,NA
2028,Direct N2O Emissions from Manure Management,NA,NA,1991.2411000000138,NA
2029,Direct N2O Emissions from Manure Management,NA,NA,2071.256800000003,NA
2030,Direct N2O Emissions from Manure Management,NA,NA,2151.272500000021,NA
2031,Direct N2O Emissions from Manure Management,NA,NA,2231.28820000001,NA
2032,Direct N2O Emissions from Manure Management,NA,NA,2311.303900000028,NA
2033,Direct N2O Emissions from Manure Management,NA,NA,2391.319600000017,NA
2034,Direct N2O Emissions from Manure Management,NA,NA,2471.335300000035,NA
2035,Direct N2O Emissions from Manure Management,NA,NA,2551.351000000024,NA
2036,Direct N2O Emissions from Manure Management,NA,NA,2631.3667000000423,NA
2037,Direct N2O Emissions from Manure Management,NA,NA,2711.3824000000313,NA
2038,Direct N2O Emissions from Manure Management,NA,NA,2791.3981000000495,NA
2039,Direct N2O Emissions from Manure Management,NA,NA,2871.4138000000385,NA
2040,Direct N2O Emissions from Manure Management,NA,NA,2951.4295000000566,NA
2041,Direct N2O Emissions from Manure Management,NA,NA,3031.4452000000456,NA
2042,Direct N2O Emissions from Manure Management,NA,NA,3111.4609000000637,NA
2043,Direct N2O Emissions from Manure Management,NA,NA,3191.4766000000527,NA
2044,Direct N2O Emissions from Manure Management,NA,NA,3271.492300000071,NA
2045,Direct N2O Emissions from Manure Management,NA,NA,3351.50800000006,NA
2046,Direct N2O Emissions from Manure Management,NA,NA,3431.523700000078,NA
2047,Direct N2O Emissions from Manure Management,NA,NA,3511.539400000067,NA
2048,Direct N2O Emissions from Manure Management,NA,NA,3591.555100000085,NA
2049,Direct N2O Emissions from Manure Management,NA,NA,3671.570800000103,NA
2050,Direct N2O Emissions from Manure Management,NA,NA,3751.586500000092,NA
2010,Domestic Aviation,706,0,6,NA
2015,Domestic Aviation,1335.1,0.261,9.899,NA
2020,Domestic Aviation,654.594,0.128,4.854,NA
2021,Domestic Aviation,867.7210666666488,0.2064666666666568,6.230066666666545,NA
2022,Domestic Aviation,862.5804666666445,0.21926666666665895,6.115466666666492,NA
2023,Domestic Aviation,857.439866666642,0.23206666666665754,6.000866666666468,NA
2024,Domestic Aviation,852.2992666666378,0.24486666666665968,5.886266666666444,NA
2025,Domestic Aviation,847.1586666666335,0.2576666666666583,5.77166666666642,NA
2026,Domestic Aviation,842.0180666666311,0.27046666666665686,5.657066666666367,NA
2027,Domestic Aviation,836.8774666666268,0.283266666666659,5.542466666666343,NA
2028,Domestic Aviation,831.7368666666225,0.2960666666666576,5.4278666666663185,NA
2029,Domestic Aviation,826.5962666666201,0.30886666666665974,5.313266666666294,NA
2030,Domestic Aviation,821.4556666666158,0.32166666666665833,5.1986666666662416,NA
2031,Domestic Aviation,816.3150666666115,0.3344666666666569,5.084066666666217,NA
2032,Domestic Aviation,811.1744666666091,0.34726666666665906,4.969466666666193,NA
2033,Domestic Aviation,806.0338666666048,0.36006666666665765,4.854866666666169,NA
2034,Domestic Aviation,800.8932666666005,0.3728666666666598,4.740266666666116,NA
2035,Domestic Aviation,795.7526666665981,0.3856666666666584,4.625666666666092,NA
2036,Domestic Aviation,790.6120666665938,0.398466666666657,4.511066666666068,NA
2037,Domestic Aviation,785.4714666665895,0.4112666666666591,4.3964666666660435,NA
2038,Domestic Aviation,780.3308666665871,0.4240666666666577,4.281866666665991,NA
2039,Domestic Aviation,775.1902666665828,0.4368666666666563,4.167266666665967,NA
2040,Domestic Aviation,770.0496666665786,0.44966666666665844,4.052666666665942,NA
2041,Domestic Aviation,764.9090666665761,0.46246666666665703,3.938066666665918,NA
2042,Domestic Aviation,759.7684666665718,0.4752666666666592,3.8234666666658654,NA
2043,Domestic Aviation,754.6278666665676,0.48806666666665777,3.708866666665841,NA
2044,Domestic Aviation,749.4872666665651,0.5008666666666564,3.594266666665817,NA
2045,Domestic Aviation,744.34666666656085,0.5136666666666585,3.4796666666657927,NA
2046,Domestic Aviation,739.2060666665566,0.5264666666666571,3.36506666666574,NA
2047,Domestic Aviation,734.0654666665541,0.5392666666666592,3.250466666665716,NA
2048,Domestic Aviation,728.9248666665499,0.5520666666666578,3.1358666666656916,NA
2049,Domestic Aviation,723.7842666665456,0.5648666666666564,3.0212666666656673,NA
2050,Domestic Aviation,718.6436666665431,0.5776666666666586,2.906666666665643,NA
2010,ENERGY TOTAL CO2 EQUIVALENT,53105,NA,NA,NA
2015,ENERGY TOTAL CO2 EQUIVALENT,74894.202,NA,NA,NA
2020,ENERGY TOTAL CO2 EQUIVALENT,99854.384,NA,NA,NA
2021,ENERGY TOTAL CO2 EQUIVALENT,104000.82573333383,NA,NA,NA
2022,ENERGY TOTAL CO2 EQUIVALENT,108675.76413333416,NA,NA,NA
2023,ENERGY TOTAL CO2 EQUIVALENT,113350.7025333345,NA,NA,NA
2024,ENERGY TOTAL CO2 EQUIVALENT,118025.64093333483,NA,NA,NA
2025,ENERGY TOTAL CO2 EQUIVALENT,122700.57933333516,NA,NA,NA
2026,ENERGY TOTAL CO2 EQUIVALENT,127375.5177333355,NA,NA,NA
2027,ENERGY TOTAL CO2 EQUIVALENT,132050.45613333583,NA,NA,NA
2028,ENERGY TOTAL CO2 EQUIVALENT,136725.39453333616,NA,NA,NA
2029,ENERGY TOTAL CO2 EQUIVALENT,141400.3329333365,NA,NA,NA
2030,ENERGY TOTAL CO2 EQUIVALENT,146075.27133333683,NA,NA,NA
2031,ENERGY TOTAL CO2 EQUIVALENT,150750.20973333716,NA,NA,NA
2032,ENERGY TOTAL CO2 EQUIVALENT,155425.1481333375,NA,NA,NA
2033,ENERGY TOTAL CO2 EQUIVALENT,160100.08653333783,NA,NA,NA
2034,ENERGY TOTAL CO2 EQUIVALENT,164775.02493333817,NA,NA,NA
2035,ENERGY TOTAL CO2 EQUIVALENT,169449.9633333385,NA,NA,NA
2036,ENERGY TOTAL CO2 EQUIVALENT,174124.90173333883,NA,NA,NA
2037,ENERGY TOTAL CO2 EQUIVALENT,178799.84013333917,NA,NA,NA
2038,ENERGY TOTAL CO2 EQUIVALENT,183474.7785333395,NA,NA,NA
2039,ENERGY TOTAL CO2 EQUIVALENT,188149.71693333983,NA,NA,NA
2040,ENERGY TOTAL CO2 EQUIVALENT,192824.65533334017,NA,NA,NA
2041,ENERGY TOTAL CO2 EQUIVALENT,197499.5937333405,NA,NA,NA
2042,ENERGY TOTAL CO2 EQUIVALENT,202174.53213334084,NA,NA,NA
2043,ENERGY TOTAL CO2 EQUIVALENT,206849.47053334117,NA,NA,NA
2044,ENERGY TOTAL CO2 EQUIVALENT,211524.4089333415,NA,NA,NA
2045,ENERGY TOTAL CO2 EQUIVALENT,216199.34733334184,NA,NA,NA
2046,ENERGY TOTAL CO2 EQUIVALENT,220874.28573334217,NA,NA,NA
2047,ENERGY TOTAL CO2 EQUIVALENT,225549.2241333425,NA,NA,NA
2048,ENERGY TOTAL CO2 EQUIVALENT,230224.16253334284,NA,NA,NA
2049,ENERGY TOTAL CO2 EQUIVALENT,234899.10093334317,NA,NA,NA
2050,ENERGY TOTAL CO2 EQUIVALENT,239574.0393333435,NA,NA,NA
2010,ENERGY TOTAL EMISSIONS,50697,1887,520,NA
2015,ENERGY TOTAL EMISSIONS,71774.457,2554.62,565.125,NA
2020,ENERGY TOTAL EMISSIONS,95866.634,3000.853,986.896,NA
2021,ENERGY TOTAL EMISSIONS,99881.14406666532,3149.136133333319,970.8112666666711,NA
2022,ENERGY TOTAL EMISSIONS,104398.10746666603,3260.5214333333133,1017.500866666669,NA
2023,ENERGY TOTAL EMISSIONS,108915.07086666673,3371.906733333337,1064.1904666666815,NA
2024,ENERGY TOTAL EMISSIONS,113432.03426666744,3483.2920333333313,1110.8800666666793,NA
2025,ENERGY TOTAL EMISSIONS,117948.99766666628,3594.677333333326,1157.5696666666918,NA
2026,ENERGY TOTAL EMISSIONS,122465.96106666699,3706.0626333333494,1204.2592666666897,NA
2027,ENERGY TOTAL EMISSIONS,126982.9244666677,3817.447933333344,1250.948866666702,NA
2028,ENERGY TOTAL EMISSIONS,131499.8878666684,3928.8332333333674,1297.6384666667,NA
2029,ENERGY TOTAL EMISSIONS,136016.8512666691,4040.218533333362,1344.3280666666979,NA
2030,ENERGY TOTAL EMISSIONS,140533.81466666795,4151.603833333385,1391.0176666667103,NA
2031,ENERGY TOTAL EMISSIONS,145050.77806666866,4262.98913333338,1437.7072666667082,NA
2032,ENERGY TOTAL EMISSIONS,149567.74146666937,4374.374433333403,1484.3968666667206,NA
2033,ENERGY TOTAL EMISSIONS,154084.70486667007,4485.759733333398,1531.0864666667185,NA
2034,ENERGY TOTAL EMISSIONS,158601.66826667078,4597.145033333421,1577.776066666731,NA
2035,ENERGY TOTAL EMISSIONS,163118.63166667148,4708.530333333416,1624.4656666667288,NA
2036,ENERGY TOTAL EMISSIONS,167635.59506667033,4819.91563333341,1671.1552666667412,NA
2037,ENERGY TOTAL EMISSIONS,172152.55846667103,4931.300933333434,1717.844866666739,NA
2038,ENERGY TOTAL EMISSIONS,176669.52186667174,5042.686233333428,1764.534466666737,NA
2039,ENERGY TOTAL EMISSIONS,181186.48526667245,5154.071533333452,1811.2240666667494,NA
2040,ENERGY TOTAL EMISSIONS,185703.44866667315,5265.456833333446,1857.9136666667473,NA
2041,ENERGY TOTAL EMISSIONS,190220.412066672,5376.84213333347,1904.6032666667597,NA
2042,ENERGY TOTAL EMISSIONS,194737.3754666727,5488.227433333464,1951.2928666667576,NA
2043,ENERGY TOTAL EMISSIONS,199254.3388666734,5599.612733333488,1997.98246666677,NA
2044,ENERGY TOTAL EMISSIONS,203771.30226667412,5710.9980333334825,2044.672066666768,NA
2045,ENERGY TOTAL EMISSIONS,208288.26566667482,5822.383333333506,2091.3616666667804,NA
2046,ENERGY TOTAL EMISSIONS,212805.22906667367,5933.7686333335005,2138.0512666667782,NA
2047,ENERGY TOTAL EMISSIONS,217322.19246667437,6045.153933333524,2184.7408666667907,NA
2048,ENERGY TOTAL EMISSIONS,221839.15586667508,6156.5392333335185,2231.4304666667886,NA
2049,ENERGY TOTAL EMISSIONS,226356.11926667579,6267.924533333513,2278.1200666667864,NA
2050,ENERGY TOTAL EMISSIONS,230873.0826666765,6379.3098333335365,2324.809666666799,NA
2010,Energy Industries,32803,49,168,NA
2015,Energy Industries,51415.027,22.852,172.253,NA
2020,Energy Industries,74183.342,40.285,288.636,NA
2021,Energy Industries,77628.66153333243,32.150000000001,282.01126666666823,NA
2022,Energy Industries,81766.695733333,31.27850000000103,294.07486666666955,NA
2023,Energy Industries,85904.72993333358,30.407000000001062,306.13846666667087,NA
2024,Energy Industries,90042.76413333416,29.535500000001093,318.2020666666722,NA
2025,Energy Industries,94180.7983333338,28.664000000001124,330.2656666666735,NA
2026,Energy Industries,98318.83253333438,27.792500000001155,342.3292666666748,NA
2027,Energy Industries,102456.86673333496,26.921000000001186,354.3928666666761,NA
2028,Energy Industries,106594.90093333554,26.049500000001217,366.45646666667744,NA
2029,Energy Industries,110732.93513333518,25.178000000001248,378.52006666667876,NA
2030,Energy Industries,114870.96933333483,24.30650000000128,390.5836666666801,NA
2031,Energy Industries,119009.00353333633,23.43500000000131,402.6472666666814,NA
2032,Energy Industries,123147.03773333598,22.56350000000134,414.7108666666827,NA
2033,Energy Industries,127285.07193333749,21.69200000000137,426.774466666684,NA
2034,Energy Industries,131423.10613333713,20.820500000001402,438.8380666666817,NA
2035,Energy Industries,135561.14033333678,19.949000000001433,450.901666666683,NA
2036,Energy Industries,139699.1745333383,19.077500000001464,462.96526666668433,NA
2037,Energy Industries,143837.20873333793,18.206000000001495,475.02886666668564,NA
2038,Energy Industries,147975.24293333758,17.334500000001754,487.09246666668696,NA
2039,Energy Industries,152113.27713333908,16.463000000001784,499.1560666666883,NA
2040,Energy Industries,156251.31133333873,15.591500000001815,511.2196666666896,NA
2041,Energy Industries,160389.34553333838,14.720000000001846,523.2832666666909,NA
2042,Energy Industries,164527.37973333988,13.848500000001877,535.3468666666922,NA
2043,Energy Industries,168665.41393333953,12.977000000001908,547.4104666666935,NA
2044,Energy Industries,172803.44813334104,12.105500000001939,559.4740666666949,NA
2045,Energy Industries,176941.48233334068,11.23400000000197,571.5376666666962,NA
2046,Energy Industries,181079.51653334033,10.362500000002001,583.6012666666975,NA
2047,Energy Industries,185217.55073334184,9.491000000002032,595.6648666666988,NA
2048,Energy Industries,189355.58493334148,8.619500000002063,607.7284666667001,NA
2049,Energy Industries,193493.61913334113,7.748000000002094,619.7920666667014,NA
2050,Energy Industries,197631.65333334263,6.876500000002125,631.8556666667027,NA
2010,Enteric Fermentation,NA,8490,NA,NA
2015,Enteric Fermentation,NA,8222.367,NA,NA
2020,Enteric Fermentation,NA,8327.213,NA,NA
2021,Enteric Fermentation,NA,8248.854466666678,NA,NA
2022,Enteric Fermentation,NA,8232.575766666676,NA,NA
2023,Enteric Fermentation,NA,8216.297066666673,NA,NA
2024,Enteric Fermentation,NA,8200.018366666678,NA,NA
2025,Enteric Fermentation,NA,8183.7396666666755,NA,NA
2026,Enteric Fermentation,NA,8167.460966666673,NA,NA
2027,Enteric Fermentation,NA,8151.18226666667,NA,NA
2028,Enteric Fermentation,NA,8134.903566666675,NA,NA
2029,Enteric Fermentation,NA,8118.6248666666725,NA,NA
2030,Enteric Fermentation,NA,8102.34616666667,NA,NA
2031,Enteric Fermentation,NA,8086.067466666675,NA,NA
2032,Enteric Fermentation,NA,8069.788766666672,NA,NA
2033,Enteric Fermentation,NA,8053.510066666669,NA,NA
2034,Enteric Fermentation,NA,8037.231366666667,NA,NA
2035,Enteric Fermentation,NA,8020.952666666672,NA,NA
2036,Enteric Fermentation,NA,8004.673966666669,NA,NA
2037,Enteric Fermentation,NA,7988.395266666666,NA,NA
2038,Enteric Fermentation,NA,7972.116566666664,NA,NA
2039,Enteric Fermentation,NA,7955.837866666669,NA,NA
2040,Enteric Fermentation,NA,7939.559166666666,NA,NA
2041,Enteric Fermentation,NA,7923.280466666663,NA,NA
2042,Enteric Fermentation,NA,7907.001766666661,NA,NA
2043,Enteric Fermentation,NA,7890.7230666666655,NA,NA
2044,Enteric Fermentation,NA,7874.444366666663,NA,NA
2045,Enteric Fermentation,NA,7858.16566666666,NA,NA
2046,Enteric Fermentation,NA,7841.886966666658,NA,NA
2047,Enteric Fermentation,NA,7825.6082666666625,NA,NA
2048,Enteric Fermentation,NA,7809.32956666666,NA,NA
2049,Enteric Fermentation,NA,7793.050866666657,NA,NA
2050,Enteric Fermentation,NA,7776.772166666662,NA,NA
2010,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,-37007,NA,NA,NA
2015,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,35668.313,NA,NA,NA
2020,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,-25935.063,NA,NA,NA
2021,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,-2448.087800002191,NA,NA,NA
2022,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,-1340.8941000024788,NA,NA,NA
2023,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,-233.7004000027664,NA,NA,NA
2024,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,873.493299996946,NA,NA,NA
2025,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,1980.6869999966584,NA,NA,NA
2026,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,3087.880699996371,NA,NA,NA
2027,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,4195.074399996083,NA,NA,NA
2028,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,5302.268099996261,NA,NA,NA
2029,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,6409.461799995974,NA,NA,NA
2030,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,7516.655499995686,NA,NA,NA
2031,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,8623.849199995399,NA,NA,NA
2032,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,9731.042899995111,NA,NA,NA
2033,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,10838.236599994823,NA,NA,NA
2034,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,11945.430299994536,NA,NA,NA
2035,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,13052.623999994248,NA,NA,NA
2036,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,14159.81769999396,NA,NA,NA
2037,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,15267.011399993673,NA,NA,NA
2038,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,16374.205099993385,NA,NA,NA
2039,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,17481.398799993098,NA,NA,NA
2040,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,18588.59249999281,NA,NA,NA
2041,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,19695.786199992523,NA,NA,NA
2042,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,20802.9798999927,NA,NA,NA
2043,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,21910.173599992413,NA,NA,NA
2044,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,23017.367299992125,NA,NA,NA
2045,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,24124.560999991838,NA,NA,NA
2046,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,25231.75469999155,NA,NA,NA
2047,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,26338.948399991263,NA,NA,NA
2048,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,27446.142099990975,NA,NA,NA
2049,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,28553.335799990688,NA,NA,NA
2050,FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT,29660.5294999904,NA,NA,NA
2010,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,-37016,7,2,NA
2015,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,35668.313,NA,NA,NA
2020,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,-25935.063,NA,NA,NA
2021,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,-2445.6878000018187,7,2,NA
2022,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,-1337.5941000021994,7,2,NA
2023,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,-229.50040000258014,7,2,NA
2024,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,878.5932999970391,7,2,NA
2025,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,1986.686999997124,7,2,NA
2026,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,3094.7806999967434,7,2,NA
2027,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,4202.874399996363,7,2,NA
2028,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,5310.968099995982,7,2,NA
2029,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,6419.061799996067,7,2,NA
2030,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,7527.155499995686,7,2,NA
2031,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,8635.249199995305,7,2,NA
2032,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,9743.34289999539,7,2,NA
2033,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,10851.43659999501,7,2,NA
2034,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,11959.530299994629,7,2,NA
2035,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,13067.623999994248,7,2,NA
2036,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,14175.717699994333,7,2,NA
2037,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,15283.811399993952,7,2,NA
2038,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,16391.90509999357,7,2,NA
2039,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,17499.998799993657,7,2,NA
2040,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,18608.092499993276,7,2,NA
2041,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,19716.186199992895,7,2,NA
2042,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,20824.279899992514,7,2,NA
2043,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,21932.3735999926,7,2,NA
2044,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,23040.46729999222,7,2,NA
2045,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,24148.560999991838,7,2,NA
2046,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,25256.654699991457,7,2,NA
2047,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,26364.748399991542,7,2,NA
2048,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,27472.84209999116,7,2,NA
2049,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,28580.93579999078,7,2,NA
2050,FORESTRY AND OTHER LAND USE TOTAL EMISSIONS,29689.029499990866,7,2,NA
2010,Fugitive Emissions - Oil and Natural Gas,12,1,0,NA
2015,Fugitive Emissions - Oil and Natural Gas,40.893,0.68,0.097,NA
2020,Fugitive Emissions - Oil and Natural Gas,9.769,0.162,0.023,NA
2021,Fugitive Emissions - Oil and Natural Gas,19.548733333332393,0.11120000000002506,0.05379999999999807,NA
2022,Fugitive Emissions - Oil and Natural Gas,19.325633333332235,0.02740000000000009,0.05609999999999804,NA
2023,Fugitive Emissions - Oil and Natural Gas,19.102533333332076,-0.05639999999999645,0.05839999999999712,NA
2024,Fugitive Emissions - Oil and Natural Gas,18.879433333331917,-0.140199999999993,0.06069999999999709,NA
2025,Fugitive Emissions - Oil and Natural Gas,18.65633333333176,-0.22400000000001796,0.06299999999999706,NA
2026,Fugitive Emissions - Oil and Natural Gas,18.4332333333316,-0.3078000000000145,0.06529999999999703,NA
2027,Fugitive Emissions - Oil and Natural Gas,18.210133333331385,-0.39160000000001105,0.06759999999999611,NA
2028,Fugitive Emissions - Oil and Natural Gas,17.987033333331226,-0.475400000000036,0.06989999999999608,NA
2029,Fugitive Emissions - Oil and Natural Gas,17.763933333331067,-0.5592000000000326,0.07219999999999605,NA
2030,Fugitive Emissions - Oil and Natural Gas,17.54083333333091,-0.6430000000000291,0.07449999999999601,NA
2031,Fugitive Emissions - Oil and Natural Gas,17.31773333333075,-0.7268000000000541,0.0767999999999951,NA
2032,Fugitive Emissions - Oil and Natural Gas,17.09463333333059,-0.8106000000000506,0.07909999999999506,NA
2033,Fugitive Emissions - Oil and Natural Gas,16.871533333330376,-0.8944000000000756,0.08139999999999503,NA
2034,Fugitive Emissions - Oil and Natural Gas,16.648433333330217,-0.9782000000000721,0.083699999999995,NA
2035,Fugitive Emissions - Oil and Natural Gas,16.42533333333006,-1.0620000000000687,0.08599999999999408,NA
2036,Fugitive Emissions - Oil and Natural Gas,16.2022333333299,-1.1458000000000936,0.08829999999999405,NA
2037,Fugitive Emissions - Oil and Natural Gas,15.979133333329742,-1.2296000000000902,0.09059999999999402,NA
2038,Fugitive Emissions - Oil and Natural Gas,15.756033333329583,-1.3134000000000867,0.09289999999999399,NA
2039,Fugitive Emissions - Oil and Natural Gas,15.532933333329368,-1.3972000000001117,0.09519999999999307,NA
2040,Fugitive Emissions - Oil and Natural Gas,15.309833333329209,-1.4810000000001082,0.09749999999999304,NA
2041,Fugitive Emissions - Oil and Natural Gas,15.08673333332905,-1.5648000000001048,0.099799999999993,NA
2042,Fugitive Emissions - Oil and Natural Gas,14.863633333328892,-1.6486000000001297,0.10209999999999297,NA
2043,Fugitive Emissions - Oil and Natural Gas,14.640533333328733,-1.7324000000001263,0.10439999999999205,NA
2044,Fugitive Emissions - Oil and Natural Gas,14.417433333328574,-1.8162000000001512,0.10669999999999202,NA
2045,Fugitive Emissions - Oil and Natural Gas,14.194333333328359,-1.9000000000001478,0.10899999999999199,NA
2046,Fugitive Emissions - Oil and Natural Gas,13.9712333333282,-1.9838000000001443,0.11129999999999196,NA
2047,Fugitive Emissions - Oil and Natural Gas,13.748133333328042,-2.0676000000001693,0.11359999999999104,NA
2048,Fugitive Emissions - Oil and Natural Gas,13.525033333327883,-2.151400000000166,0.11589999999999101,NA
2049,Fugitive Emissions - Oil and Natural Gas,13.301933333327725,-2.2352000000001624,0.11819999999999098,NA
2050,Fugitive Emissions - Oil and Natural Gas,13.078833333327566,-2.3190000000001874,0.12049999999999006,NA
2010,Fugitive Emissions - Solid Fuels,NA,90,NA,NA
2015,Fugitive Emissions - Solid Fuels,NA,371.29,NA,NA
2020,Fugitive Emissions - Solid Fuels,NA,560.204,NA,NA
2021,Fugitive Emissions - Solid Fuels,NA,622.6203999999998,NA,NA
2022,Fugitive Emissions - Solid Fuels,NA,669.6407999999938,NA,NA
2023,Fugitive Emissions - Solid Fuels,NA,716.6612000000023,NA,NA
2024,Fugitive Emissions - Solid Fuels,NA,763.6816000000108,NA,NA
2025,Fugitive Emissions - Solid Fuels,NA,810.7020000000048,NA,NA
2026,Fugitive Emissions - Solid Fuels,NA,857.7224000000133,NA,NA
2027,Fugitive Emissions - Solid Fuels,NA,904.7428000000218,NA,NA
2028,Fugitive Emissions - Solid Fuels,NA,951.7632000000158,NA,NA
2029,Fugitive Emissions - Solid Fuels,NA,998.7836000000243,NA,NA
2030,Fugitive Emissions - Solid Fuels,NA,1045.8040000000183,NA,NA
2031,Fugitive Emissions - Solid Fuels,NA,1092.8244000000268,NA,NA
2032,Fugitive Emissions - Solid Fuels,NA,1139.8448000000353,NA,NA
2033,Fugitive Emissions - Solid Fuels,NA,1186.8652000000293,NA,NA
2034,Fugitive Emissions - Solid Fuels,NA,1233.8856000000378,NA,NA
2035,Fugitive Emissions - Solid Fuels,NA,1280.9060000000463,NA,NA
2036,Fugitive Emissions - Solid Fuels,NA,1327.9264000000403,NA,NA
2037,Fugitive Emissions - Solid Fuels,NA,1374.9468000000488,NA,NA
2038,Fugitive Emissions - Solid Fuels,NA,1421.9672000000573,NA,NA
2039,Fugitive Emissions - Solid Fuels,NA,1468.9876000000513,NA,NA
2040,Fugitive Emissions - Solid Fuels,NA,1516.0080000000598,NA,NA
2041,Fugitive Emissions - Solid Fuels,NA,1563.0284000000684,NA,NA
2042,Fugitive Emissions - Solid Fuels,NA,1610.0488000000623,NA,NA
2043,Fugitive Emissions - Solid Fuels,NA,1657.0692000000709,NA,NA
2044,Fugitive Emissions - Solid Fuels,NA,1704.0896000000648,NA,NA
2045,Fugitive Emissions - Solid Fuels,NA,1751.1100000000733,NA,NA
2046,Fugitive Emissions - Solid Fuels,NA,1798.1304000000819,NA,NA
2047,Fugitive Emissions - Solid Fuels,NA,1845.1508000000758,NA,NA
2048,Fugitive Emissions - Solid Fuels,NA,1892.1712000000844,NA,NA
2049,Fugitive Emissions - Solid Fuels,NA,1939.1916000000929,NA,NA
2050,Fugitive Emissions - Solid Fuels,NA,1986.2120000000868,NA,NA
2010,INDUSTRIAL PROCESS AND PRODUCT USE TOTAL CO2 EQUIVALENT,8363,NA,NA,NA
